nohup: ignoring input
device=cuda
Using the latest cached version of the dataset since wikitext couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'wikitext-2-raw-v1' at /home/enzeyu/.cache/huggingface/datasets/wikitext/wikitext-2-raw-v1/0.0.0/b08601e04326c79dfdd32d625aee71d232d685c3 (last modified on Sat May  9 08:55:42 2026).
model_backend=mdlm
pretrained_edge_loaded=True
edge_model_status=loaded pretrained edge MDLM from /mnt/data/enzeyu/hf_downloads/models/mdlm-no_flashattn-fp32-owt via HF_ENDPOINT=https://hf-mirror.com/; MDLM custom vocab_embed already matches vocab_size=50258; patched flash-attn rotary kernel
edge_model_is_toy=False
step=0001 loss=64.7016 edge_loss=2.8295 device_loss=69.8842 align=820.4493 acc=0.4323 step_time=0.416s gpu_mem=3260.7MB
step=0100 loss=58.4795 edge_loss=2.2947 device_loss=51.2825 align=817.9503 acc=0.5305 step_time=0.130s gpu_mem=5906.7MB
step=0200 loss=50.1936 edge_loss=2.2285 device_loss=27.9162 align=796.0724 acc=0.5568 step_time=0.128s gpu_mem=5906.7MB
step=0300 loss=38.7701 edge_loss=2.1037 device_loss=10.6272 align=673.2587 acc=0.5833 step_time=0.130s gpu_mem=5907.0MB
step=0400 loss=34.7228 edge_loss=2.3250 device_loss=10.3699 align=590.2113 acc=0.5280 step_time=0.131s gpu_mem=5907.0MB
step=0500 loss=29.6382 edge_loss=1.9170 device_loss=10.2594 align=496.1606 acc=0.6042 step_time=0.132s gpu_mem=5907.0MB
step=0600 loss=31.4249 edge_loss=1.7819 device_loss=10.3737 align=534.5243 acc=0.6382 step_time=0.132s gpu_mem=5908.8MB
step=0700 loss=31.9775 edge_loss=1.8631 device_loss=9.8980 align=546.2502 acc=0.6027 step_time=0.132s gpu_mem=5908.8MB
step=0800 loss=28.1687 edge_loss=2.0855 device_loss=10.4591 align=462.7067 acc=0.5783 step_time=0.132s gpu_mem=5908.8MB
step=0900 loss=29.0973 edge_loss=2.0114 device_loss=10.2746 align=483.8154 acc=0.5894 step_time=0.132s gpu_mem=5908.8MB
step=1000 loss=27.0597 edge_loss=1.6726 device_loss=10.3771 align=448.7816 acc=0.6228 step_time=0.135s gpu_mem=5909.1MB
step=1100 loss=58.3112 edge_loss=2.1282 device_loss=10.5307 align=1064.0027 acc=0.5625 step_time=0.132s gpu_mem=5909.1MB
step=1200 loss=29.7540 edge_loss=1.9383 device_loss=11.7152 align=489.2086 acc=0.6486 step_time=0.133s gpu_mem=5909.1MB
step=1300 loss=28.4900 edge_loss=1.9208 device_loss=12.7897 align=458.2241 acc=0.5960 step_time=0.134s gpu_mem=5909.1MB
step=1400 loss=27.8381 edge_loss=1.9344 device_loss=15.7821 align=428.7722 acc=0.6375 step_time=0.133s gpu_mem=5909.1MB
step=1500 loss=27.3772 edge_loss=2.0089 device_loss=19.5502 align=396.2426 acc=0.5733 step_time=0.133s gpu_mem=5909.1MB
step=1600 loss=27.0001 edge_loss=1.9000 device_loss=20.3266 align=383.8924 acc=0.6358 step_time=0.133s gpu_mem=5909.1MB
step=1700 loss=23.0110 edge_loss=1.4532 device_loss=21.2069 align=305.7505 acc=0.6145 step_time=0.134s gpu_mem=5909.1MB
step=1800 loss=27.3249 edge_loss=1.7190 device_loss=22.0933 align=385.7655 acc=0.6481 step_time=0.135s gpu_mem=5909.1MB
step=1900 loss=26.1189 edge_loss=1.9350 device_loss=20.6270 align=363.3056 acc=0.6168 step_time=0.135s gpu_mem=5909.1MB
step=2000 loss=22.9269 edge_loss=2.1666 device_loss=22.1073 align=288.5109 acc=0.5714 step_time=0.134s gpu_mem=5909.1MB
step=2100 loss=23.9502 edge_loss=1.7428 device_loss=22.5526 align=312.5253 acc=0.6211 step_time=0.135s gpu_mem=5909.1MB
step=2200 loss=20.3019 edge_loss=1.9471 device_loss=18.3966 align=260.0127 acc=0.6258 step_time=0.136s gpu_mem=5909.1MB
step=2300 loss=20.3724 edge_loss=1.4639 device_loss=19.3015 align=264.2270 acc=0.6667 step_time=0.135s gpu_mem=5909.1MB
