mode,dataset,coarse_dim,compression_method,device_steps,edge_steps,train_time,step_time,memory_MB,comm_MB,sampling_latency,tokens_per_sec,token_acc,val_loss,compression_ratio,refinement_gain
coarse_to_fine,arche_like,32,linear,2,1,0.075520621961914,0.0075520621961914,0.9047355651855469,0.15625,0.005384169984608889,5943.348759692718,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,32,linear,2,2,0.0755619399715215,0.00755619399715215,0.9047355651855469,0.15625,0.007117243018001318,4496.122995809454,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,32,linear,2,4,0.07549614494200796,0.007549614494200796,0.9047355651855469,0.15625,0.010633376892656088,3009.392060776169,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,32,linear,4,1,0.07581929699517787,0.007581929699517787,0.9047355651855469,0.15625,0.008935627061873674,3581.170048662489,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,32,linear,4,2,0.0753005639417097,0.0075300563941709696,0.9047355651855469,0.15625,0.010522144963033497,3041.205012136091,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,32,linear,4,4,0.07591303996741772,0.007591303996741771,0.9047355651855469,0.15625,0.013821355998516083,2315.2576348829775,0.0,4.765023946762085,3.0,-0.03518518518518518
coarse_to_fine,arche_like,64,linear,4,2,0.07309722492936999,0.007309722492936999,0.9556388854980469,0.3125,0.010507084080018103,3045.5642837060905,0.01759259259259259,4.574782848358154,1.5,-0.01759259259259259
device_only,arche_like,64,linear,4,2,0.06615301594138145,0.0066153015941381454,0.9556388854980469,0.0,0.0019753610249608755,16199.570405431989,0.03518518518518518,4.445911645889282,1.5,0.0
edge_only,arche_like,64,linear,4,2,0.050206740968860686,0.005020674096886069,0.9556388854980469,0.0,0.002794296946376562,11451.896707504633,0.009259259259259259,4.562058925628662,1.5,0.0
vanilla_collaborative_distillation,arche_like,64,linear,4,2,0.07519100396893919,0.007519100396893919,0.9556388854980469,0.0543212890625,0.010582641931250691,3023.819591353984,0.01759259259259259,4.735832691192627,1.5,0.0
