bin,bin_high,bin_low,correction_precision,correction_recall,draft_error_rate,mode,preserve,refined_token_ratio,tokens,wrong_edit_rate
0,0.2,0.0,0.0,0.0,0.8910440815635841,gpt2_only,1.0,0.0,47276,0.0
1,0.4,0.2,0.0,0.0,0.7181265615094903,gpt2_only,1.0,0.0,26817,0.0
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,gpt2_only,1.0,0.0,11763,0.0
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,gpt2_only,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,gpt2_only,1.0,0.0,9074,0.0
0,0.2,0.0,0.1266386661575665,0.023620178041543028,0.8910440815635841,direct_draft_context,0.9169093379926228,1.0,47276,0.0830906620073772
1,0.4,0.2,0.1959045809584125,0.04818776612316959,0.7181265615094903,direct_draft_context,0.9207567138510385,1.0,26817,0.0792432861489615
2,0.6000000000000001,0.4,0.16852540272614622,0.04297677358192448,0.5380430162373544,direct_draft_context,0.9247331615752669,1.0,11763,0.07526683842473317
3,0.8,0.6000000000000001,0.11544227886056972,0.0358807082945014,0.33678593848085375,direct_draft_context,0.9245149077141505,1.0,6372,0.0754850922858495
4,1.0,0.8,0.04554079696394687,0.02937576499388005,0.09003746969363015,direct_draft_context,0.9527673489160712,1.0,9074,0.04723265108392879
0,0.2,0.0,0.1311587591240876,0.027299703264094956,0.8910440815635841,random_refine_mask,0.8654630168899243,0.20373974109484727,47276,0.13453698311007573
1,0.4,0.2,0.1359856147448865,0.03141551562986811,0.7181265615094903,random_refine_mask,0.8736605371080831,0.2047581757840176,26817,0.12633946289191691
2,0.6000000000000001,0.4,0.10747408619749045,0.031126560278085004,0.5380430162373544,random_refine_mask,0.8663967611336032,0.20734506503442998,11763,0.13360323886639677
3,0.8,0.6000000000000001,0.05549626467449306,0.024231127679403542,0.33678593848085375,random_refine_mask,0.8660672030288689,0.2037037037037037,6372,0.13393279697113109
4,1.0,0.8,0.021404109589041095,0.030599755201958383,0.09003746969363015,random_refine_mask,0.8751362480319729,0.20134450077143487,9074,0.12486375196802713
0,0.2,0.0,0.14773155373768904,0.06516320474777448,0.8910440815635841,low_conf_refine,0.7878081925839643,0.4231745494542686,47276,0.21219180741603572
1,0.4,0.2,0.138671875,0.0036867795201993977,0.7181265615094903,low_conf_refine,0.9862415663447546,0.02513331095946601,26817,0.013758433655245404
2,0.6000000000000001,0.4,0.2,0.00015800284405119292,0.5380430162373544,low_conf_refine,0.9992638940007361,0.0005950862875116892,11763,0.000736105999263894
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,low_conf_refine,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,low_conf_refine,1.0,0.0,9074,0.0
0,0.2,0.0,0.15471381354598396,0.07000593471810089,0.8910440815635841,draft_refine_adapter,0.788196466705494,0.4231745494542686,47276,0.2118035332945059
1,0.4,0.2,0.13743218806509946,0.00394641188077682,0.7181265615094903,draft_refine_adapter,0.9850509326630507,0.02513331095946601,26817,0.014949067336949331
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,draft_refine_adapter,0.9990798675009201,0.0005950862875116892,11763,0.0009201324990798675
